Name,Comment,tone
honest man,KISSAN ANDOLAN SAY DARR KRR DELHI SAY GUJARAT BHAAGA FEKU-JUMLABAAZ NARENDRA MODI. <br>DRAMA KRR RAHA HAI VACCINE KAY NAAM PER. GODI-MODI MEDIA MAI KISSAN ANDOLAN KE JAGHAN MODI DIKHAYA JAIGA.,"{'document_tone': {'tones': [{'score': 0.582343, 'tone_id': 'anger', 'tone_name': 'Anger'}]}, 'sentences_tone': [{'sentence_id': 0, 'text': 'KISSAN ANDOLAN SAY DARR KRR DELHI SAY GUJARAT BHAAGA FEKU-JUMLABAAZ NARENDRA MODI.', 'tones': []}, {'sentence_id': 1, 'text': '<br>DRAMA KRR RAHA HAI VACCINE KAY NAAM PER.', 'tones': []}, {'sentence_id': 2, 'text': 'GODI-MODI MEDIA MAI KISSAN ANDOLAN KE JAGHAN MODI DIKHAYA JAIGA.', 'tones': []}]}"
suhas macs,Agitated farmer..what a shit u cow medias,"{'document_tone': {'tones': [{'score': 0.541839, 'tone_id': 'anger', 'tone_name': 'Anger'}]}}"
MrMohil10,"This protestors only have rocks and this bastard police have tear gas and guns! Shame on you! They want their voice heard and if it won’t be heard from Punjab, they need to go closer to where they will be heard! May God Bless You! They should have their own prime ministers. The current one we have is a JOKE!","{'document_tone': {'tones': [{'score': 0.746203, 'tone_id': 'sadness', 'tone_name': 'Sadness'}, {'score': 0.690882, 'tone_id': 'fear', 'tone_name': 'Fear'}, {'score': 0.657722, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.55795, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]}, 'sentences_tone': [{'sentence_id': 0, 'text': 'This protestors only have rocks and this bastard police have tear gas and guns!', 'tones': [{'score': 0.582499, 'tone_id': 'anger', 'tone_name': 'Anger'}]}, {'sentence_id': 1, 'text': 'Shame on you!', 'tones': [{'score': 1.0, 'tone_id': 'sadness', 'tone_name': 'Sadness'}, {'score': 0.931034, 'tone_id': 'fear', 'tone_name': 'Fear'}]}, {'sentence_id': 2, 'text': 'They want their voice heard and if it won’t be heard from Punjab, they need to go closer to where they will be heard!', 'tones': []}, {'sentence_id': 3, 'text': 'May God Bless You!', 'tones': [{'score': 0.873089, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.984352, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]}, {'sentence_id': 4, 'text': 'They should have their own prime ministers.', 'tones': []}, {'sentence_id': 5, 'text': 'The current one we have is a JOKE!', 'tones': []}]}"
Arvind Bakshi,news channels government ki chaatna band karo warna log tumhe dekhna band kar denge.,{'document_tone': {'tones': []}}
Bibi,These people are not murderers or terrorist. Why all these police. Why don&#39;t they arrest the murderers of Sushant and Disha. Waste of time.,"{'document_tone': {'tones': [{'score': 0.656383, 'tone_id': 'anger', 'tone_name': 'Anger'}]}, 'sentences_tone': [{'sentence_id': 0, 'text': 'These people are not murderers or terrorist.', 'tones': [{'score': 0.91961, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]}, {'sentence_id': 1, 'text': 'Why all these police.', 'tones': [{'score': 0.931034, 'tone_id': 'fear', 'tone_name': 'Fear'}, {'score': 0.97759, 'tone_id': 'confident', 'tone_name': 'Confident'}]}, {'sentence_id': 2, 'text': 'Why don&#39;t they arrest the murderers of Sushant and Disha.', 'tones': [{'score': 0.60962, 'tone_id': 'anger', 'tone_name': 'Anger'}]}, {'sentence_id': 3, 'text': 'Waste of time.', 'tones': [{'score': 0.760145, 'tone_id': 'anger', 'tone_name': 'Anger'}]}]}"
Bibi,Shameful India government. The farmers wanted to protest peacefully why police are stopping them.,"{'document_tone': {'tones': []}, 'sentences_tone': [{'sentence_id': 0, 'text': 'Shameful India government.', 'tones': []}, {'sentence_id': 1, 'text': 'The farmers wanted to protest peacefully why police are stopping them.', 'tones': []}]}"
The guardian,Good good ji mata ki,"{'document_tone': {'tones': [{'score': 0.817809, 'tone_id': 'joy', 'tone_name': 'Joy'}]}}"
The guardian,BJP rss lakh lahnat marjo haramio,{'document_tone': {'tones': []}}
Lambo Jackson,Stand up against criminal dictatorship Modi regime,{'document_tone': {'tones': []}}
Mo Jan,Degi chalo down with bjp/rss,{'document_tone': {'tones': []}}
