id,message,tone
2,They should be charged under UAPA. Delhi police should learn something from UP police how to control the crowd.,"{'document_tone': {'tones': [{'score': 0.680948, 'tone_id': 'analytical', 'tone_name': 'Analytical'}, {'score': 0.911392, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]}, 'sentences_tone': [{'sentence_id': 0, 'text': 'They should be charged under UAPA.', 'tones': []}, {'sentence_id': 1, 'text': 'Delhi police should learn something from UP police how to control the crowd.', 'tones': [{'score': 0.589295, 'tone_id': 'analytical', 'tone_name': 'Analytical'}, {'score': 0.716301, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]}]}"
3,"?? ?? ????? ???? ?? ?? ????? ????,?? ?? ???? ??? ???? ?????,, ""????? ?? ????????? ???? ?? ?? ?????? ????? ?????""?",{'document_tone': {'tones': []}}
4,"Violence is Not the solution in a democratic country of ours. Peaceful protests in non violent manner can be done and won rights. But, the circumstances, the farmers had undergone, because of the mere indifference by government authorities, and waiting for an opportunity created by them now, to suppress the agitation, has also to be condemned along with the violence in Delhi now.","{'document_tone': {'tones': [{'score': 0.505687, 'tone_id': 'anger', 'tone_name': 'Anger'}, {'score': 0.848028, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}, 'sentences_tone': [{'sentence_id': 0, 'text': 'Violence is Not the solution in a democratic country of ours.', 'tones': [{'score': 0.653099, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}, {'sentence_id': 1, 'text': 'Peaceful protests in non violent manner can be done and won rights.', 'tones': [{'score': 0.612824, 'tone_id': 'anger', 'tone_name': 'Anger'}]}, {'sentence_id': 2, 'text': 'But, the circumstances, the farmers had undergone, because of the mere indifference by government authorities, and waiting for an opportunity created by them now, to suppress the agitation, has also to be condemned along with the violence in Delhi now.', 'tones': [{'score': 0.770155, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}]}"
5,When a tea seller and  sweeper becomes a PM such moves are inevitable. He gradually moving India into communal riots.,"{'document_tone': {'tones': [{'score': 0.537842, 'tone_id': 'sadness', 'tone_name': 'Sadness'}, {'score': 0.932568, 'tone_id': 'confident', 'tone_name': 'Confident'}]}, 'sentences_tone': [{'sentence_id': 0, 'text': 'When a tea seller and  sweeper becomes a PM such moves are inevitable.', 'tones': [{'score': 0.775702, 'tone_id': 'confident', 'tone_name': 'Confident'}]}, {'sentence_id': 1, 'text': 'He gradually moving India into communal riots.', 'tones': []}]}"
6,Modi hatao desh bachao kishan bachao democracy bachao.Jay kishan jay hind.????,{'document_tone': {'tones': []}}
7,These are not farmers according to the head of the Kisan Union.. He said it himself on camera,"{'document_tone': {'tones': [{'score': 0.569674, 'tone_id': 'sadness', 'tone_name': 'Sadness'}, {'score': 0.959237, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}, 'sentences_tone': [{'sentence_id': 0, 'text': 'These are not farmers according to the head of the Kisan Union..', 'tones': [{'score': 0.932977, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}, {'sentence_id': 1, 'text': 'He said it himself on camera', 'tones': []}]}"
8,Modi should resign NOW big shame to Indians .never happened in independent india,"{'document_tone': {'tones': [{'score': 0.77494, 'tone_id': 'analytical', 'tone_name': 'Analytical'}, {'score': 0.901164, 'tone_id': 'confident', 'tone_name': 'Confident'}]}, 'sentences_tone': [{'sentence_id': 0, 'text': 'Modi should resign NOW big shame to Indians .never', 'tones': [{'score': 0.660207, 'tone_id': 'confident', 'tone_name': 'Confident'}]}, {'sentence_id': 1, 'text': 'happened in independent india', 'tones': [{'score': 0.920855, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}]}"
9,Two hundred thousand farmers march peacefully. Biggest protest in history no shop burned or looted. No public property or vehicle  damaged. No women violated and no police killed except protesting farmers shot. Biggest media attention on flying Nishan flag and kissan flag under India flag at red fort. Shame on india overall media.,"{'document_tone': {'tones': [{'score': 0.561219, 'tone_id': 'sadness', 'tone_name': 'Sadness'}, {'score': 0.596122, 'tone_id': 'analytical', 'tone_name': 'Analytical'}, {'score': 0.891529, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]}, 'sentences_tone': [{'sentence_id': 0, 'text': 'Two hundred thousand farmers march peacefully.', 'tones': [{'score': 0.525968, 'tone_id': 'sadness', 'tone_name': 'Sadness'}]}, {'sentence_id': 1, 'text': 'Biggest protest in history no shop burned or looted.', 'tones': [{'score': 0.856622, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]}, {'sentence_id': 2, 'text': 'No public property or vehicle  damaged.', 'tones': [{'score': 0.620279, 'tone_id': 'analytical', 'tone_name': 'Analytical'}, {'score': 0.946222, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]}, {'sentence_id': 3, 'text': 'No women violated and no police killed except protesting farmers shot.', 'tones': [{'score': 0.511137, 'tone_id': 'anger', 'tone_name': 'Anger'}, {'score': 0.703409, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}, {'sentence_id': 4, 'text': 'Biggest media attention on flying Nishan flag and kissan flag under India flag at red fort.', 'tones': [{'score': 0.506763, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}, {'sentence_id': 5, 'text': 'Shame on india overall media.', 'tones': [{'score': 0.515553, 'tone_id': 'sadness', 'tone_name': 'Sadness'}, {'score': 0.822231, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]}]}"
10,At Ground Zero world media is there. So nothing special NDTV.,"{'document_tone': {'tones': []}, 'sentences_tone': [{'sentence_id': 0, 'text': 'At Ground Zero world media is there.', 'tones': []}, {'sentence_id': 1, 'text': 'So nothing special NDTV.', 'tones': []}]}"
11,"Whenever I think India is really developing, helping other nations in providing vaccines, feel proud abt being an Indian, these shameful events occur and my impression abt our country changes........ Kya yeh hai humari ''sone ki chidiya, bharat''......... Aise events to har desh mein hote rehte hain lekin bharat mein kuch zyada hi ho raha hai........... No wonder India ranks far below in World Happiness Index ranking............ No wonder why Indian people prefer to settle abroad......I know I am speaking harshly, but truth is always harsh to digest......","{'document_tone': {'tones': [{'score': 0.799586, 'tone_id': 'joy', 'tone_name': 'Joy'}]}, 'sentences_tone': [{'sentence_id': 0, 'text': ""Whenever I think India is really developing, helping other nations in providing vaccines, feel proud abt being an Indian, these shameful events occur and my impression abt our country changes........ Kya yeh hai humari ''sone ki chidiya, bharat''......... Aise events to har desh mein hote rehte hain lekin bharat mein kuch zyada hi ho raha hai..........."", 'tones': []}, {'sentence_id': 1, 'text': 'No wonder India ranks far below in World Happiness Index ranking............', 'tones': [{'score': 0.883663, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.786991, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]}, {'sentence_id': 2, 'text': 'No wonder why Indian people prefer to settle abroad......I know I am speaking harshly, but truth is always harsh to digest......', 'tones': [{'score': 0.653099, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}]}"
