,message,sentiment
0,"['radhika', 'rawat', 'correct', 'currently', 'dont', 'project']",0.0
1,"['indrani', 'banerjee']",0.0
2,"['video', 'aagya', 'abb', 'karo', 'deny']",0.0
3,"['pranaya', 'pranoy', 'say', 'stand', 'act']",0.0
4,"['shivani', 'shastri', 'let', 'people', 'judge', 'btw', 'layman', 'would', 'say', 'modulate', 'voice', 'say', 'whatever', 'want', 'say', 'heart', 'drunken', 'state']",0.0
5,"['pranaya', 'pranoy', 'true']",0.35
6,"['anil', 'da', 'whatever', 'say', 'seem', 'funny', 'youthis', 'show', 'strong', 'support', 'back']",0.22777777777777777
7,"['meetali', 'chhabra', 'arora', 'sudden', 'come']",0.0
8,"['siddharth', 'prabhune', 'mkc', 'uski']",0.0
9,"['pramila', 'dhamdhere', 'yes', 'dear', 'arrest', 'torture', 'hang', 'like', 'sushant']",-0.05
10,['language'],0.0
11,"['vrinda', 'kabra', 'get', 'drink', 'standup', 'act', 'woww', 'ekta', 'kapoor', 'banayegi', 'toh', 'nepo', 'mein', 'ginayegi', 'movie', 'ironic']",0.2
12,"['jay', 'shah', 'moral', 'dont', 'get', 'drink', 'listen', 'parent']",0.0
