,snippet.textOriginal,sentiment
0,"['there', 'still', 'month', 'leave', 'till']",0.0
1,"['celebrity', 'rich', 'people']",0.375
2,"['gagan', 'ahuja', 'right', 'bro']",0.2857142857142857
3,['agree'],0.0
4,"['actor', 'discus', 'hardship', 'problem', 'wid', 'get', 'mental', 'relief', 'srk', 'salman', 'amir', 'shud', 'lead', 'front', 'keep', 'artist', 'check', 'always', 'else', 'lose', 'good', 'artist', 'true', 'human', 'rip', 'sushant', 'high', 'time', 'pls', 'save', 'pure', 'soul']",0.22071428571428567
5,['exactly'],0.25
6,['true'],0.35
7,['right'],0.2857142857142857
8,"['trash', 'game', 'dont', 'think', 'thats', 'reason', 'step']",-0.4
9,"['dont', 'believe', 'allah', 'prophet', 'muhammad', 'peace', 'allah', 'pe', 'upon']",0.0
10,"['bring', 'curse', 'people', 'lead', 'commit', 'suicide']",0.0
11,"['everyone', 'mean', 'except', 'personality']",-0.3125
12,['absolutely'],0.2
13,"['yes', 'biggest', 'possible', 'crime', 'one', 'commit', 'body']",0.0
14,"['sundeep', 'true', 'good', 'sacrifice', 'life']",0.5249999999999999
15,"['kya', 'sahi', 'baat', 'likhi', 'hai', 'bhai']",0.0
16,"['suicide', 'cause', 'depression', 'loneliness', 'dont', 'know', 'know', 'famous', 'actor', 'like', 'salman', 'khan', 'many', 'actor', 'whenever', 'see', 'news', 'still', 'doesnt', 'understand', 'thing']",0.5
17,"['banjara', 'life', 'ya', 'bro']",0.0
18,"['haa', 'yaar']",0.0
19,"['banjara', 'life', 'totally', 'agree', 'brother']",0.0
20,"['assumption', 'nobody', 'know', 'reality', 'investigation', 'go', 'conclusion']",0.0
21,"['filmo', 'mai', 'real', 'life', 'mai', 'bohut', 'fark', 'hota', 'hai']",0.2
22,"['sana', 'sheikh', 'wahi', 'toh', 'kya', 'janaab']",0.0
23,"['wahi', 'toh']",0.0
24,['right'],0.2857142857142857
25,['yes'],0.0
26,['yeah'],0.0
27,['true'],0.35
28,"['startusler', 'body', 'every', 'one', 'problem', 'even', 'actor', 'billioners']",0.0
29,"['laxmi', 'nope', 'thats', 'wrong', 'logic', 'weaks', 'cant', 'suicide', 'need', 'gut']",-0.5
30,"['master', 'af', 'actually', 'read', 'comment', 'doesnt', 'support', 'kill', 'oneself', 'say', 'respect', 'soul', 'move']",0.0
31,"['startusler', 'u', 'r', 'insane', 'coward']",-1.0
32,"['plz', 'save', 'govindai', 'think', 'u', 'ka', 'next', 'wo', 'b', 'bohay', 'depression', 'film', 'nai', 'aur', 'flop', 'ho', 'gia']",0.0
33,"['startusler', 'cawords', 'cant', 'suicide']",0.0
34,"['startusler', 'tere', 'ghar', 'pe', 'bhi', 'char', 'coward', 'ho', 'jaye']",0.0
35,"['startusler', 'thats', 'absurd', 'bollywood', 'evil', 'place', 'evil', 'people', 'survive', 'place', 'people', 'like', 'ekta', 'kapoor', 'alike']",-0.8333333333333334
36,"['startusler', 'people', 'commit', 'suicide', 'coward', 'im', 'sick', 'people', 'online', 'say', 'idea', 'go', 'drive', 'make', 'decision', 'couldnt', 'possibly', 'understand', 'struggle', 'people', 'offer', 'condolence', 'move', 'along']",-0.35714285714285715
37,['irony'],0.0
38,['startusler'],0.0
39,['startusler'],0.0
40,['coward'],0.0
41,"['absolutely', 'right']",0.2857142857142857
42,"['kill', 'yaarhe', 'fine']",0.4166666666666667
