,message,sentiment
0,['dump'],0.0
1,"['shivani', 'ragni']",0.0
2,['seriously'],-0.3333333333333333
3,"['happy', 'porki']",0.8
4,"['abey', 'haram', 'ki', 'paidaishbhonk', 'mat', 'idhar']",0.0
5,"['nadia', 'khursheed']",0.0
6,"['muhammad', 'mohsin', 'mushtaq', 'jutt', 'clown', 'manipulate', 'corrupt', 'politician', 'believe', 'minister', 'want', 'believe', 'kinda', 'people', 'like', 'man', 'brain']",-0.5
7,"['apologize', 'indian']",0.0
8,"['nadia', 'khursheed', 'yesterday', 'indian', 'cheer', 'shahid', 'afridi', 'test', 'covid', 'positive', 'today', 'pakistani', 'mourn', 'death', 'sushantsingh', 'tell', 'lot', 'mentality', 'two', 'nation', 'people', 'pakistan', 'humanity', 'le', 'hate', 'pakistan']",-0.2863636363636364
9,"['nadia', 'khursheed', 'true', 'worse', 'year']",-0.025000000000000022
10,"['qayyum', 'shah', 'cant', 'judge', 'entire', 'nationthis', 'wrong']",-0.25
11,"['nurul', 'he', 'indian', 'actor']",0.0
12,"['mohammed', 'bhutto', 'khan', 'suicide', 'nothing', 'brave', 'please', 'educate']",0.8
13,"['rohan', 'chakrabarti']",0.0
14,"['rohan', 'chakrabarti', 'im', 'go', 'cry']",0.0
15,"['rohan', 'chakrabarti', 'upset']",0.0
16,"['rohan', 'chakrabarti', 'way']",0.0
17,"['syed', 'faraz', 'maybe', 'depress', 'even', 'back']",-0.03333333333333333
18,"['syed', 'faraz', 'irony', 'life']",0.0
19,"['sohrab', 'muhammad', 'unbelievable']",-0.25
20,"['salaar', 'muhammad', 'biggest', 'upset']",0.0
21,"['sohrab', 'muhammad', 'inquiry', 'murder']",0.0
22,"['salaar', 'muhammad', 'bakhsy', 'babu']",0.0
23,"['sohrab', 'muhammad', 'mahi']",0.0
24,"['asia', 'noor', 'yes']",0.0
25,"['asia', 'noor', 'hmm']",0.0
26,"['asia', 'noor', 'interest', 'thank']",0.0
27,"['asia', 'noor', 'yeah', 'read', 'believe', 'good', 'look', 'talented', 'actor']",0.7
28,"['kiruba', 'nidhi', 'true']",0.35
29,"['mean', 'suicide', 'solution', 'problem']",-0.3125
30,"['aishwrya', 'rajput', 'true', 'dont', 'think', 'suicide', 'attempt']",0.35
