id,message,tone
2,They don't seem like farmers.. they are party workers.,"{'document_tone': {'tones': [{'score': 0.728508, 'tone_id': 'sadness', 'tone_name': 'Sadness'}, {'score': 0.946222, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]}}"
3,"Looks like a group of out of work commies are protesting and I don't think they qualify to be labelled as ""farmers"". Even farmers have abandoned the Chinese party. ??","{'document_tone': {'tones': [{'score': 0.539879, 'tone_id': 'sadness', 'tone_name': 'Sadness'}, {'score': 0.611644, 'tone_id': 'analytical', 'tone_name': 'Analytical'}, {'score': 0.908434, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]}, 'sentences_tone': [{'sentence_id': 0, 'text': 'Looks like a group of out of work commies are protesting and I don\'t think they qualify to be labelled as ""farmers"".', 'tones': [{'score': 0.530486, 'tone_id': 'sadness', 'tone_name': 'Sadness'}, {'score': 0.541591, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}, {'sentence_id': 1, 'text': 'Even farmers have abandoned the Chinese party.', 'tones': [{'score': 0.91961, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]}, {'sentence_id': 2, 'text': '??', 'tones': []}]}"
4,Those are not farmers bu 2% left supporters....????,{'document_tone': {'tones': []}}
5,Communist party is not farmer's of Odisha,{'document_tone': {'tones': []}}
6,These are Communist party people and not farmers.,{'document_tone': {'tones': []}}
7,Not only BJD,"{'document_tone': {'tones': [{'score': 0.999342, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}}"
8,Inme se kisi Ko bhi puch lo farm bill kya hai... Koi nehi bol payega.... sab Ch*tiye...,{'document_tone': {'tones': []}}
9,Mera desh badalu raha hi public properties se Private properties tak.. farmers se leka corporates tak,{'document_tone': {'tones': []}}
12,Spineless Gang of persons without any plan & future. They can't even answer what is  the farm bill .God bless them????,"{'document_tone': {'tones': [{'score': 0.857009, 'tone_id': 'analytical', 'tone_name': 'Analytical'}, {'score': 0.978371, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]}, 'sentences_tone': [{'sentence_id': 0, 'text': 'Spineless Gang of persons without any plan & future.', 'tones': [{'score': 0.88939, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]}, {'sentence_id': 1, 'text': ""They can't even answer what is  the farm bill .God bless them????"", 'tones': [{'score': 0.842108, 'tone_id': 'analytical', 'tone_name': 'Analytical'}, {'score': 0.75152, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]}]}"
13,"Those are not farmers at all , they are discarded left","{'document_tone': {'tones': [{'score': 0.849827, 'tone_id': 'confident', 'tone_name': 'Confident'}]}}"
15,#support farmers,"{'document_tone': {'tones': [{'score': 0.547872, 'tone_id': 'sadness', 'tone_name': 'Sadness'}]}}"
