id,message,tone
2,Know he will know the power of Punjab??,"{'document_tone': {'tones': [{'score': 0.920855, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}}"
3,"There is no way out for the #BJPGovt in the Centre other than to #Revoke3FarmLaws with immediate effect. Enough befooling has been done by Mr. Modi and company in the past 6 years, no more please. All Indians are not blind bhakts to clap and beat thali for anything and everything that he and his corporate friends do in India.  Mr. Modi said in 100 days, all #Blackmoney will be returned from foreign banks and Rs. 15 lakhs will be deposited to each Indians account, outcome was a #Jumla. #Demonetisation was disastrous which killed hundred plus people in the queues along with Indian economy.  #GST_Tamasha made Indian economy to sink as deep as minus 23%, the worst in the history of India, behind even all poor neighboring countries. The adventurism with #CAA_NRC_NPR under communal agenda downed Indian's reputation globally as secular, democratic country and caused #DelhiRiots2020 by political fringe from #DelhiNCR against Muslims. The dramabazi with #Covid_19 and communal rhetoric by #IndianModia during early days of #Coronavirus outbreak; later unplanned and sudden nationwide #Lockdown broke lives of millions of poor labours and the uncalled for, painful journey back homes consumed many of them on roads and over the railway tracks.  Now these 3 pieces of laws which were enacted by the cabinet ordinance in the first stance without proper debates in the Parliament and later went through the Parliament for namesake only, will force Indian farming industry to go under organized corporate monopoly. These new laws are nothing but to make Ambani and Adani the new owner of the ""East India Company"" in disguise of ""making India"". Modi-Shah have already sold Airports, Indian Railways, bankrupted HAL, VSNL, ONGC and so many other public sectors industries which were major sources of revenue, jobs and repute for this Nation to send direct benefits to their corporate friends. Now, they are willing to own private farm lands from the farmers and control even the retail market via Reliance and Adani supermarkets. One may simply compare the electricity bill hike by Adani in Mumbai and comprehend how actually these guys are looting India.   Thanks for the timely comprehension of the brave farmers, this time, it is hoped that the Modi and company can't befool the common Indians anymore. #Bhakts and brainwashed trolls may go to any level, abuse and harass or claim anything nonsense but the #FarmersProtest in the borders of #Delhi is pan India #KisaanKiBaat. The demand is single that is to repeal the recent #FarmLaws without ifs and buts and this is minimum support price (MSP) for #BJP4India Govt. in the Centre.","{'document_tone': {'tones': [{'score': 0.60947, 'tone_id': 'sadness', 'tone_name': 'Sadness'}]}, 'sentences_tone': [{'sentence_id': 0, 'text': 'There is no way out for the #BJPGovt in the Centre other than to #Revoke3FarmLaws with immediate effect.', 'tones': [{'score': 0.747994, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}, {'sentence_id': 1, 'text': 'Enough befooling has been done by Mr. Modi and company in the past 6 years, no more please.', 'tones': []}, {'sentence_id': 2, 'text': 'All Indians are not blind bhakts to clap and beat thali for anything and everything that he and his corporate friends do in India.', 'tones': [{'score': 0.605106, 'tone_id': 'joy', 'tone_name': 'Joy'}]}, {'sentence_id': 3, 'text': 'Mr. Modi said in 100 days, all #Blackmoney will be returned from foreign banks and Rs. 15 lakhs will be deposited to each Indians account, outcome was a #Jumla.', 'tones': [{'score': 0.550845, 'tone_id': 'sadness', 'tone_name': 'Sadness'}]}, {'sentence_id': 4, 'text': '#Demonetisation was disastrous which killed hundred plus people in the queues along with Indian economy.', 'tones': [{'score': 0.580294, 'tone_id': 'sadness', 'tone_name': 'Sadness'}]}, {'sentence_id': 5, 'text': '#GST_Tamasha made Indian economy to sink as deep as minus 23%, the worst in the history of India, behind even all poor neighboring countries.', 'tones': [{'score': 0.729328, 'tone_id': 'sadness', 'tone_name': 'Sadness'}]}, {'sentence_id': 6, 'text': ""The adventurism with #CAA_NRC_NPR under communal agenda downed Indian's reputation globally as secular, democratic country and caused #DelhiRiots2020 by political fringe from #DelhiNCR against Muslims."", 'tones': []}, {'sentence_id': 7, 'text': 'The dramabazi with #Covid_19 and communal rhetoric by #IndianModia during early days of #Coronavirus outbreak; later unplanned and sudden nationwide #Lockdown broke lives of millions of poor labours and the uncalled for, painful journey back homes consumed many of them on roads and over the railway tracks.', 'tones': [{'score': 0.545728, 'tone_id': 'sadness', 'tone_name': 'Sadness'}, {'score': 0.518523, 'tone_id': 'fear', 'tone_name': 'Fear'}]}, {'sentence_id': 8, 'text': 'Now these 3 pieces of laws which were enacted by the cabinet ordinance in the first stance without proper debates in the Parliament and later went through the Parliament for namesake only, will force Indian farming industry to go under organized corporate monopoly.', 'tones': [{'score': 0.520199, 'tone_id': 'sadness', 'tone_name': 'Sadness'}]}, {'sentence_id': 9, 'text': 'These new laws are nothing but to make Ambani and Adani the new owner of the ""East India Company"" in disguise of ""making India"".', 'tones': [{'score': 0.513114, 'tone_id': 'joy', 'tone_name': 'Joy'}]}, {'sentence_id': 10, 'text': 'Modi-Shah have already sold Airports, Indian Railways, bankrupted HAL, VSNL, ONGC and so many other public sectors industries which were major sources of revenue, jobs and repute for this Nation to send direct benefits to their corporate friends.', 'tones': [{'score': 0.641293, 'tone_id': 'sadness', 'tone_name': 'Sadness'}]}, {'sentence_id': 11, 'text': 'Now, they are willing to own private farm lands from the farmers and control even the retail market via Reliance and Adani supermarkets.', 'tones': []}, {'sentence_id': 12, 'text': 'One may simply compare the electricity bill hike by Adani in Mumbai and comprehend how actually these guys are looting India.', 'tones': [{'score': 0.670204, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}, {'sentence_id': 13, 'text': ""Thanks for the timely comprehension of the brave farmers, this time, it is hoped that the Modi and company can't befool the common Indians anymore."", 'tones': [{'score': 0.506626, 'tone_id': 'sadness', 'tone_name': 'Sadness'}]}, {'sentence_id': 14, 'text': '#Bhakts and brainwashed trolls may go to any level, abuse and harass or claim anything nonsense but the #FarmersProtest in the borders of #Delhi is pan India #KisaanKiBaat.', 'tones': [{'score': 0.91961, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]}, {'sentence_id': 15, 'text': 'The demand is single that is to repeal the recent #FarmLaws without ifs and buts and this is minimum support price (MSP) for #BJP4India Govt. in the Centre.', 'tones': []}]}"
4,Farmers showing the people how to stand up to the bigotry and savagery of Modi government. Why is it difficult for the govt to engage with the farmers and accede to the demands seeing the unprecedented support that farmers have garnered all over the world.,"{'document_tone': {'tones': [{'score': 0.774135, 'tone_id': 'sadness', 'tone_name': 'Sadness'}, {'score': 0.803844, 'tone_id': 'confident', 'tone_name': 'Confident'}]}, 'sentences_tone': [{'sentence_id': 0, 'text': 'Farmers showing the people how to stand up to the bigotry and savagery of Modi government.', 'tones': []}, {'sentence_id': 1, 'text': 'Why is it difficult for the govt to engage with the farmers and accede to the demands seeing the unprecedented support that farmers have garnered all over the world.', 'tones': [{'score': 0.820114, 'tone_id': 'sadness', 'tone_name': 'Sadness'}]}]}"
5,India is a Democracy and the GOVT. must understand that. They cannot take the people for granted. DICTATORIAL Governance will not work.,"{'document_tone': {'tones': [{'score': 0.600694, 'tone_id': 'sadness', 'tone_name': 'Sadness'}, {'score': 0.551743, 'tone_id': 'analytical', 'tone_name': 'Analytical'}, {'score': 0.808712, 'tone_id': 'confident', 'tone_name': 'Confident'}]}, 'sentences_tone': [{'sentence_id': 0, 'text': 'India is a Democracy and the GOVT.', 'tones': [{'score': 0.71772, 'tone_id': 'sadness', 'tone_name': 'Sadness'}]}, {'sentence_id': 1, 'text': 'must understand that.', 'tones': [{'score': 0.955445, 'tone_id': 'analytical', 'tone_name': 'Analytical'}, {'score': 0.942582, 'tone_id': 'confident', 'tone_name': 'Confident'}]}, {'sentence_id': 2, 'text': 'They cannot take the people for granted.', 'tones': []}, {'sentence_id': 3, 'text': 'DICTATORIAL Governance will not work.', 'tones': [{'score': 0.718611, 'tone_id': 'sadness', 'tone_name': 'Sadness'}]}]}"
6,"They had problem with one road of Shaheen bagh, now all roads are blocked!","{'document_tone': {'tones': [{'score': 0.751512, 'tone_id': 'confident', 'tone_name': 'Confident'}, {'score': 0.801827, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}}"
7,Opposition and Secular media desperate for this ..   Congress promised this Bill .. kissan unions demanded this Bill wanted government to protect them from  middlemen. Modi's fault is he actually did it. Farmers all over India happy with Farm Bill. Only Punjab farmers are against it. Because they instigated by one family. . By non stop coverage of Delhi protests media desperate to bring other state leaders into this. Time to tame the media in the interest of the country and development.,"{'document_tone': {'tones': [{'score': 0.50123, 'tone_id': 'sadness', 'tone_name': 'Sadness'}, {'score': 0.582275, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.831039, 'tone_id': 'confident', 'tone_name': 'Confident'}, {'score': 0.711766, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}, 'sentences_tone': [{'sentence_id': 0, 'text': 'Opposition and Secular media desperate for this ..   Congress promised this Bill .. kissan unions demanded this Bill wanted government to protect them from  middlemen.', 'tones': [{'score': 0.523822, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}, {'sentence_id': 1, 'text': ""Modi's fault is he actually did it."", 'tones': [{'score': 0.527911, 'tone_id': 'anger', 'tone_name': 'Anger'}, {'score': 0.92125, 'tone_id': 'confident', 'tone_name': 'Confident'}, {'score': 0.560098, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}, {'sentence_id': 2, 'text': 'Farmers all over India happy with Farm Bill.', 'tones': [{'score': 0.757429, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.898327, 'tone_id': 'confident', 'tone_name': 'Confident'}]}, {'sentence_id': 3, 'text': 'Only Punjab farmers are against it.', 'tones': [{'score': 0.583566, 'tone_id': 'sadness', 'tone_name': 'Sadness'}, {'score': 0.620279, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}, {'sentence_id': 4, 'text': 'Because they instigated by one family. .', 'tones': [{'score': 0.842108, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}, {'sentence_id': 5, 'text': 'By non stop coverage of Delhi protests media desperate to bring other state leaders into this.', 'tones': [{'score': 0.664451, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}, {'sentence_id': 6, 'text': 'Time to tame the media in the interest of the country and development.', 'tones': []}]}"
8,I support the farmers. Farmers only can kick this Godi government out.  God help the farmers to fight for their needs.,"{'document_tone': {'tones': [{'score': 0.661638, 'tone_id': 'sadness', 'tone_name': 'Sadness'}]}, 'sentences_tone': [{'sentence_id': 0, 'text': 'I support the farmers.', 'tones': [{'score': 0.573718, 'tone_id': 'sadness', 'tone_name': 'Sadness'}]}, {'sentence_id': 1, 'text': 'Farmers only can kick this Godi government out.', 'tones': [{'score': 0.653722, 'tone_id': 'sadness', 'tone_name': 'Sadness'}, {'score': 0.610552, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}, {'sentence_id': 2, 'text': 'God help the farmers to fight for their needs.', 'tones': [{'score': 0.516615, 'tone_id': 'sadness', 'tone_name': 'Sadness'}]}]}"
9,"Prannoy Roy and his wife Radhika have been found guilty of insider trading by SEBI and fined  17 crores, and also barred from the stock market for two years.",{'document_tone': {'tones': []}}
10,"Congress can mislead lakhs of people at a time, make them come on roads to get beaten by the police but can't convince a single voter to favour them in the election.",{'document_tone': {'tones': []}}
11,Since May 27th 2014 our beautiful and heterogeneous India ????  has ben turned into an intollerant one. The so called 'New' India had no place for pluralism . Justice To Indian ???? Farmers ?? ???????. Indian Farmers ?? ????  are the real heroes of the economy ??????? Down with crony capitalists ?? ????????,"{'document_tone': {'tones': [{'score': 0.601567, 'tone_id': 'sadness', 'tone_name': 'Sadness'}]}, 'sentences_tone': [{'sentence_id': 0, 'text': 'Since May 27th 2014 our beautiful and heterogeneous India ????  has ben turned into an intollerant one.', 'tones': [{'score': 0.615352, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]}, {'sentence_id': 1, 'text': ""The so called 'New' India had no place for pluralism ."", 'tones': []}, {'sentence_id': 2, 'text': 'Justice To Indian ???? Farmers ?? ???????.', 'tones': [{'score': 0.560401, 'tone_id': 'sadness', 'tone_name': 'Sadness'}]}, {'sentence_id': 3, 'text': 'Indian Farmers ?? ????  are the real heroes of the economy ??????? Down with crony capitalists ?? ????????', 'tones': [{'score': 0.509368, 'tone_id': 'confident', 'tone_name': 'Confident'}]}]}"
