id,message,tone
2,It shows her upbringing .Probably it's her mother who is laughing in the back ground. After all the expensive shopping and foreign trip at others expense anybody will be in that state 😉,"{'document_tone': {'tones': [{'score': 0.940913, 'tone_id': 'tentative', 'tone_name': 'Tentative'}, {'score': 0.896355, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}, 'sentences_tone': [{'sentence_id': 0, 'text': ""It shows her upbringing .Probably it's her mother who is laughing in the back ground."", 'tones': [{'score': 0.647986, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]}, {'sentence_id': 1, 'text': 'After all the expensive shopping and foreign trip at others expense anybody will be in that state 😉', 'tones': [{'score': 0.615352, 'tone_id': 'tentative', 'tone_name': 'Tentative'}, {'score': 0.906379, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}]}"
3,If it was a standup act then when she mentioned not to record video??,"{'document_tone': {'tones': [{'score': 0.711887, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}}"
4,"She killed Sushant.. now she doing act.. infront of camera.. after watching her ""goondi ""..video .. now everyone knows about her character.. thinking.. nature.. she can do everything.. she played the love game with SSR for fulfilled her family expenses..and tried to satisfied Mahesh Bhatt to getting chance in film... because she hasn't capability of acting...","{'document_tone': {'tones': [{'score': 0.529132, 'tone_id': 'joy', 'tone_name': 'Joy'}]}}"
5,This is not a stand up Act - it’s her true colors- arrest her for murdering SSR,"{'document_tone': {'tones': [{'score': 0.588922, 'tone_id': 'anger', 'tone_name': 'Anger'}]}}"
6,This channel is against Republic.. That's why getting footage to get her..,{'document_tone': {'tones': []}}
7,"Seriuosly! She is clarifying only the issues of Tai here😡 what about the other things which are alleged against her, why is she not clarifying and hiding in a bush? Disgusting one! Don't even want to mention her as a woman.","{'document_tone': {'tones': [{'score': 0.89793, 'tone_id': 'tentative', 'tone_name': 'Tentative'}, {'score': 0.888114, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}, 'sentences_tone': [{'sentence_id': 0, 'text': 'Seriuosly!', 'tones': []}, {'sentence_id': 1, 'text': 'She is clarifying only the issues of Tai here😡 what about the other things which are alleged against her, why is she not clarifying and hiding in a bush?', 'tones': [{'score': 0.832547, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}, {'sentence_id': 2, 'text': 'Disgusting one!', 'tones': []}, {'sentence_id': 3, 'text': ""Don't even want to mention her as a woman."", 'tones': [{'score': 0.856622, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]}]}"
8,We sorry about death of Sushanth but this is not only media coverage focus other issues also related to common man life,"{'document_tone': {'tones': [{'score': 0.72371, 'tone_id': 'sadness', 'tone_name': 'Sadness'}, {'score': 0.913368, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}}"
9,This may be a comedy act but it's show her true nature,"{'document_tone': {'tones': [{'score': 0.668926, 'tone_id': 'joy', 'tone_name': 'Joy'}]}}"
10,"I knew that this was suppose to come..Guys don't justify..she should had face rather running, all are against her, evidences proofs everything Goondi u r caught now.. Accept...Surrender urself to police for ur sins...the o e who is fighting for her Justice... should think work is God...ur job is to give Justice but u r insulting ur job ....Think about it..Money is not everything...","{'document_tone': {'tones': [{'score': 0.518383, 'tone_id': 'anger', 'tone_name': 'Anger'}]}}"
11,Seriously 😡now you acting 😡this is the real you ! A gold digger and a murderer !!!! You will be caught very soon laugh all you want and act all you want your time is ending soon to be a free someone 😡😡😡,"{'document_tone': {'tones': [{'score': 0.965244, 'tone_id': 'confident', 'tone_name': 'Confident'}]}, 'sentences_tone': [{'sentence_id': 0, 'text': 'Seriously 😡now you acting 😡this is the real you !', 'tones': [{'score': 0.874372, 'tone_id': 'confident', 'tone_name': 'Confident'}]}, {'sentence_id': 1, 'text': 'A gold digger and a murderer !!!!', 'tones': []}, {'sentence_id': 2, 'text': 'You will be caught very soon laugh all you want and act all you want your time is ending soon to be a free someone 😡😡😡', 'tones': [{'score': 0.787944, 'tone_id': 'confident', 'tone_name': 'Confident'}]}]}"
