message,created_time,positive,negative,neutral,compound
I will  vote for Modiji and BJP. He is giving me petrol for 50/ltr. He also put â‚¹1500000 in my account.,2020-11-30T14:08:27+0000,0.107,0.0,0.893,0.34
ask him to study the law and then bark...he has not studied at all just following a herd strategy...ask him why middlemen not exploiting the farmers?calling an actor as if he is an expert on the subject and we lack experts in our country.In india already corporates are associated with farming in many parts of the country....he should study and express..such half cooked experts are dangerous....The anchor lacks proper question....here famers are provided with options...no one forcing them to sell..,2020-11-30T14:08:50+0000,0.029,0.028,0.943,0.0274
"The one going through the media can't be a farmer, if you wanna meet the real farmers go and see them working in the field... I can bet that this man hadn't gone to work in the field ever in his life.... Stop utilising the emotions of the farmers to get your illusory popularity...",2020-11-30T14:09:11+0000,0.054,0.038,0.908,0.2263
Yes that you people want without knowing ABCD of the law. ,2020-11-30T14:11:13+0000,0.308,0.0,0.692,0.4588
Why are farmers only from Punjab Protesting ??,2020-11-30T14:11:17+0000,0.0,0.311,0.689,-0.4871
Pfi media preaching ..,2020-11-30T14:11:35+0000,0.0,0.0,1.0,0.0
For the barking slaves who are still on payroll of Congress.,2020-11-30T14:12:37+0000,0.0,0.0,1.0,0.0
he is not able to answer pros and cons...and India Today has given him as if he is a great expert..so sad...,2020-11-30T14:12:37+0000,0.151,0.114,0.735,0.25
Another farmer protesting....,2020-11-30T14:13:03+0000,0.0,0.583,0.417,-0.4215
Ye muh pe lelo...  https://www.facebook.com/234508140533782/posts/719776805340244/?sfnsn=wiwspwa,2020-11-30T14:13:13+0000,0.0,0.0,1.0,0.0
Fukra sala,2020-11-30T14:14:26+0000,0.0,0.0,1.0,0.0
Pehle yeh batao iski Jameene Farm Bill kaise legaya ?,2020-11-30T14:14:45+0000,0.0,0.0,1.0,0.0
I dont know if anyone know him...but he got a good coverage now,2020-11-30T14:15:03+0000,0.195,0.0,0.805,0.4404
Tum log ka kuchh hone wala Nahin hai Kitna natak karna karo,2020-11-30T14:15:52+0000,0.0,0.0,1.0,0.0
He understands  Now every body is getting aware  It's goods,2020-11-30T14:15:55+0000,0.0,0.0,1.0,0.0
