id,message,tone
2,The old story of the BJP.  Those who oppose them are called terrorists and anti Indians.,"{'document_tone': {'tones': [{'score': 0.556499, 'tone_id': 'sadness', 'tone_name': 'Sadness'}, {'score': 0.694442, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}, 'sentences_tone': [{'sentence_id': 0, 'text': 'The old story of the BJP.', 'tones': []}, {'sentence_id': 1, 'text': 'Those who oppose them are called terrorists and anti Indians.', 'tones': [{'score': 0.562466, 'tone_id': 'sadness', 'tone_name': 'Sadness'}, {'score': 0.687768, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}]}"
3,"Ranga-Billa should put their own criminal history in front of bench before accusing others. If, in case, there are so called Khalistanies among protestors, it is home minister's responsibility to display their name and past records and take action.  For today's decision given by court, the farmers should take stand that they will appear in front of committee only after tractor rally on republic day. And the reason of standing in front of committee is to put their point and not to end the farmer's movement. ","{'document_tone': {'tones': [{'score': 0.612001, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}, 'sentences_tone': [{'sentence_id': 0, 'text': 'Ranga-Billa should put their own criminal history in front of bench before accusing others.', 'tones': [{'score': 0.542118, 'tone_id': 'anger', 'tone_name': 'Anger'}]}, {'sentence_id': 1, 'text': ""If, in case, there are so called Khalistanies among protestors, it is home minister's responsibility to display their name and past records and take action."", 'tones': [{'score': 0.5449, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}, {'sentence_id': 2, 'text': ""For today's decision given by court, the farmers should take stand that they will appear in front of committee only after tractor rally on republic day."", 'tones': []}, {'sentence_id': 3, 'text': ""And the reason of standing in front of committee is to put their point and not to end the farmer's movement."", 'tones': []}]}"
4,criminals have infiltrated parliament since ages. ,"{'document_tone': {'tones': [{'score': 0.610306, 'tone_id': 'sadness', 'tone_name': 'Sadness'}]}}"
5,"This is the most shameless statement given by the govt on farmers who from more than 50days are  protesting on road with so much difficulties & courage to be listened by govt & black laws be taken by, even after 8meetings no concrete development has taken place & above that such irresponsible statements are made just to divert the important issue & misled the protest. Concerned it whole heartily.","{'document_tone': {'tones': [{'score': 0.513256, 'tone_id': 'sadness', 'tone_name': 'Sadness'}, {'score': 0.616743, 'tone_id': 'analytical', 'tone_name': 'Analytical'}, {'score': 0.784508, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]}, 'sentences_tone': [{'sentence_id': 0, 'text': 'This is the most shameless statement given by the govt on farmers who from more than 50days are  protesting on road with so much difficulties & courage to be listened by govt & black laws be taken by, even after 8meetings no concrete development has taken place & above that such irresponsible statements are made just to divert the important issue & misled the protest.', 'tones': [{'score': 0.52926, 'tone_id': 'sadness', 'tone_name': 'Sadness'}]}, {'sentence_id': 1, 'text': 'Concerned it whole heartily.', 'tones': [{'score': 0.607911, 'tone_id': 'fear', 'tone_name': 'Fear'}, {'score': 0.506763, 'tone_id': 'analytical', 'tone_name': 'Analytical'}, {'score': 0.898327, 'tone_id': 'confident', 'tone_name': 'Confident'}]}]}"
6,If sikh farmers r khalistani then what r hindu farmers who r against these farm laws.This is failure of govt and nothing.From seven eight years peoples r only listening lies and jumlas.,"{'document_tone': {'tones': [{'score': 0.876432, 'tone_id': 'sadness', 'tone_name': 'Sadness'}]}}"
7,This govt is playing a very dangerous game just to benefit crony capitalists for electoral bonds! Fearing for India and its future ??,"{'document_tone': {'tones': [{'score': 0.889018, 'tone_id': 'fear', 'tone_name': 'Fear'}]}, 'sentences_tone': [{'sentence_id': 0, 'text': 'This govt is playing a very dangerous game just to benefit crony capitalists for electoral bonds!', 'tones': []}, {'sentence_id': 1, 'text': 'Fearing for India and its future ??', 'tones': [{'score': 0.801334, 'tone_id': 'fear', 'tone_name': 'Fear'}]}]}"
8,Government is dead scared..... giving false narrative to take brutal control of peaceful protest......,"{'document_tone': {'tones': [{'score': 0.772144, 'tone_id': 'fear', 'tone_name': 'Fear'}]}}"
9,"Khalistanis and their relatives are also farmers from Punjab, so what is the government trying to prove? If they think they can stop the farmers movement by getting a court verdict in their favour they are sadly mistaken.","{'document_tone': {'tones': [{'score': 0.665354, 'tone_id': 'sadness', 'tone_name': 'Sadness'}, {'score': 0.78409, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}, 'sentences_tone': [{'sentence_id': 0, 'text': 'Khalistanis and their relatives are also farmers from Punjab, so what is the government trying to prove?', 'tones': []}, {'sentence_id': 1, 'text': 'If they think they can stop the farmers movement by getting a court verdict in their favour they are sadly mistaken.', 'tones': [{'score': 0.740947, 'tone_id': 'sadness', 'tone_name': 'Sadness'}, {'score': 0.801827, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}]}"
10,Sick politics by the government of India. The Supreme court too plays it part in being a corrupt and misaligned organization by passing such stupid solutions. ,"{'document_tone': {'tones': [{'score': 0.629823, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}, 'sentences_tone': [{'sentence_id': 0, 'text': 'Sick politics by the government of India.', 'tones': []}, {'sentence_id': 1, 'text': 'The Supreme court too plays it part in being a corrupt and misaligned organization by passing such stupid solutions.', 'tones': [{'score': 0.563365, 'tone_id': 'anger', 'tone_name': 'Anger'}, {'score': 0.572397, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}]}"
11,Very sad . How an elected govt. can behave or utter like this? Very unfortunate.,"{'document_tone': {'tones': [{'score': 0.915162, 'tone_id': 'sadness', 'tone_name': 'Sadness'}, {'score': 0.890603, 'tone_id': 'confident', 'tone_name': 'Confident'}]}, 'sentences_tone': [{'sentence_id': 0, 'text': 'Very sad .', 'tones': [{'score': 1.0, 'tone_id': 'sadness', 'tone_name': 'Sadness'}, {'score': 0.996934, 'tone_id': 'confident', 'tone_name': 'Confident'}]}, {'sentence_id': 1, 'text': 'How an elected govt.', 'tones': [{'score': 0.667661, 'tone_id': 'sadness', 'tone_name': 'Sadness'}]}, {'sentence_id': 2, 'text': 'can behave or utter like this? Very unfortunate.', 'tones': [{'score': 0.615352, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]}]}"
12,#ShameonModiGovt for lying in Supreme court.,{'document_tone': {'tones': []}}
13,As large section of farmers beautifully led by a community which always sacrificed for the nation put on strong opposition against black laws a government with no sacrifice at all but making an impression to have sacrificed is clueless...hence this idea to paint them as khalistanis...Indians will realise sooner or later all this.,"{'document_tone': {'tones': [{'score': 0.720364, 'tone_id': 'sadness', 'tone_name': 'Sadness'}, {'score': 0.827846, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}}"
