id,message,tone
2,We can't and we must not endorse violence from anyone in any name or any form. Lal Qila (Red Fort) is our national pride and symbol of unity where only India's national flag must keep waving and no other religious or political flag.   Let's check who is actually responsible for this months long protest in Delhi borders and the chaos in our Republic Day today (26th of January 2021)?  A] Modi-led Central Govt. B] Delhi Police C] Farmers of India D] A few Corporate Houses,"{'document_tone': {'tones': [{'score': 0.577836, 'tone_id': 'sadness', 'tone_name': 'Sadness'}, {'score': 0.824103, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]}, 'sentences_tone': [{'sentence_id': 0, 'text': ""We can't and we must not endorse violence from anyone in any name or any form."", 'tones': [{'score': 0.975816, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]}, {'sentence_id': 1, 'text': ""Lal Qila (Red Fort) is our national pride and symbol of unity where only India's national flag must keep waving and no other religious or political flag."", 'tones': []}, {'sentence_id': 2, 'text': ""Let's check who is actually responsible for this months long protest in Delhi borders and the chaos in our Republic Day today (26th of January 2021)?"", 'tones': [{'score': 0.509368, 'tone_id': 'confident', 'tone_name': 'Confident'}, {'score': 0.512886, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}, {'sentence_id': 3, 'text': 'A] Modi-led Central Govt.', 'tones': [{'score': 0.619203, 'tone_id': 'sadness', 'tone_name': 'Sadness'}]}, {'sentence_id': 4, 'text': 'B] Delhi Police C] Farmers of India D] A few Corporate Houses', 'tones': []}]}"
3,"If this had happened in other country, The Prime Minister or President might have resigned by now.  What a shameful act by Politician who ordered to beat Farmers on Republic Day.","{'document_tone': {'tones': [{'score': 0.940913, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]}, 'sentences_tone': [{'sentence_id': 0, 'text': 'If this had happened in other country, The Prime Minister or President might have resigned by now.', 'tones': [{'score': 0.873263, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]}, {'sentence_id': 1, 'text': 'What a shameful act by Politician who ordered to beat Farmers on Republic Day.', 'tones': []}]}"
4,This much of naughtiness was expected. Just think what would have happened if the rally has been taken out by andhbhakt ? Red fort would have been raised down.,"{'document_tone': {'tones': [{'score': 0.874714, 'tone_id': 'analytical', 'tone_name': 'Analytical'}, {'score': 0.827288, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]}, 'sentences_tone': [{'sentence_id': 0, 'text': 'This much of naughtiness was expected.', 'tones': [{'score': 0.842108, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}, {'sentence_id': 1, 'text': 'Just think what would have happened if the rally has been taken out by andhbhakt ?', 'tones': [{'score': 0.781949, 'tone_id': 'analytical', 'tone_name': 'Analytical'}, {'score': 0.647986, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]}, {'sentence_id': 2, 'text': 'Red fort would have been raised down.', 'tones': []}]}"
5,"""mostly"" peacefool protest?","{'document_tone': {'tones': [{'score': 0.946222, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]}}"
6,If NDTv reporters don't know what's happened..why are they reporting..Mr. Srinivasan jain & co..didn't you go there to do drama..rather than reality check??,"{'document_tone': {'tones': [{'score': 0.961255, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}, 'sentences_tone': [{'sentence_id': 0, 'text': ""If NDTv reporters don't know what's happened..why are they reporting..Mr."", 'tones': [{'score': 0.842108, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}, {'sentence_id': 1, 'text': ""Srinivasan jain & co..didn't you go there to do drama..rather than reality check??"", 'tones': [{'score': 0.874319, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}]}"
7,Security forces not enough to tackle the situation ! Total failure,"{'document_tone': {'tones': [{'score': 0.891222, 'tone_id': 'analytical', 'tone_name': 'Analytical'}, {'score': 0.932568, 'tone_id': 'confident', 'tone_name': 'Confident'}]}, 'sentences_tone': [{'sentence_id': 0, 'text': 'Security forces not enough to tackle the situation !', 'tones': [{'score': 0.803567, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}, {'sentence_id': 1, 'text': 'Total failure', 'tones': [{'score': 0.515177, 'tone_id': 'sadness', 'tone_name': 'Sadness'}, {'score': 0.97759, 'tone_id': 'confident', 'tone_name': 'Confident'}]}]}"
8,Why the news channels not questioning the big so called capitalist who r running the shows to be limelight of business magazines ask them questions y they r keeping silence shame nobody covers them of interview on their view on farm laws.,{'document_tone': {'tones': []}}
9,Now rNDTV doing reality check... Now you want to twist the fact.. anti national rNDTV,"{'document_tone': {'tones': [{'score': 0.529264, 'tone_id': 'sadness', 'tone_name': 'Sadness'}, {'score': 0.882284, 'tone_id': 'analytical', 'tone_name': 'Analytical'}, {'score': 0.849827, 'tone_id': 'confident', 'tone_name': 'Confident'}]}}"
10,"It seems that there is a very fine tuning between RSS, Khalistanis and Pakistani ISI, which keeps on working to hurt India from time to time but by coincidence both RSS (BJP-India) and ISI (pakistan) are currently in power  to their respective country. They uses their same old invented tools and techniques to gain their political mileage. This tool is known as Khalistan and their techniques is known as Divide and Rule technique.????","{'document_tone': {'tones': []}, 'sentences_tone': [{'sentence_id': 0, 'text': 'It seems that there is a very fine tuning between RSS, Khalistanis and Pakistani ISI, which keeps on working to hurt India from time to time but by coincidence both RSS (BJP-India) and ISI (pakistan) are currently in power  to their respective country.', 'tones': [{'score': 0.569269, 'tone_id': 'sadness', 'tone_name': 'Sadness'}]}, {'sentence_id': 1, 'text': 'They uses their same old invented tools and techniques to gain their political mileage.', 'tones': []}, {'sentence_id': 2, 'text': 'This tool is known as Khalistan and their techniques is known as Divide and Rule technique.????', 'tones': [{'score': 0.698634, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}]}"
11,This reality check is as true as Harvard call for Nidhi. ,"{'document_tone': {'tones': [{'score': 0.849827, 'tone_id': 'confident', 'tone_name': 'Confident'}, {'score': 0.970179, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}}"
