id,message,tone
2,These people are supported by the Congress party that has nothing positive done since independence.  Today we are seeing a lot of  positive rules and laws that are helping the normal people in their future. There are too many  politicians that only create problems against the laws because these politicians are not making the money that always made...this is a shame.,"{'document_tone': {'tones': [{'score': 0.675662, 'tone_id': 'confident', 'tone_name': 'Confident'}, {'score': 0.791422, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}, 'sentences_tone': [{'sentence_id': 0, 'text': 'These people are supported by the Congress party that has nothing positive done since independence.', 'tones': []}, {'sentence_id': 1, 'text': 'Today we are seeing a lot of  positive rules and laws that are helping the normal people in their future.', 'tones': [{'score': 0.693518, 'tone_id': 'joy', 'tone_name': 'Joy'}]}, {'sentence_id': 2, 'text': 'There are too many  politicians that only create problems against the laws because these politicians are not making the money that always made...this is a shame.', 'tones': [{'score': 0.54504, 'tone_id': 'sadness', 'tone_name': 'Sadness'}, {'score': 0.773514, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}]}"
3,"CAA NRC rioters and middlemen are masquerading as farmers. Once lathi charged, they will play victim card. Till then, they are veer","{'document_tone': {'tones': [{'score': 0.742615, 'tone_id': 'sadness', 'tone_name': 'Sadness'}, {'score': 0.527552, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}, 'sentences_tone': [{'sentence_id': 0, 'text': 'CAA NRC rioters and middlemen are masquerading as farmers.', 'tones': [{'score': 0.514011, 'tone_id': 'sadness', 'tone_name': 'Sadness'}]}, {'sentence_id': 1, 'text': 'Once lathi charged, they will play victim card.', 'tones': [{'score': 0.554957, 'tone_id': 'sadness', 'tone_name': 'Sadness'}]}, {'sentence_id': 2, 'text': 'Till then, they are veer', 'tones': [{'score': 0.687768, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}]}"
4,More power to our farmers??????they are the only one who can turn this communalist and fascist government around.,"{'document_tone': {'tones': [{'score': 0.525007, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]}}"
5,It is the duty of every Indian's to win this struggle.,"{'document_tone': {'tones': [{'score': 0.585097, 'tone_id': 'sadness', 'tone_name': 'Sadness'}, {'score': 0.825035, 'tone_id': 'confident', 'tone_name': 'Confident'}]}}"
6,"Media should telecast more about which particular points in farm bills are affecting farmers agitating there and what is reply of government for that. Instead of doing so, this issue is being created as a national problem without any logical understanding.","{'document_tone': {'tones': [{'score': 0.752585, 'tone_id': 'sadness', 'tone_name': 'Sadness'}, {'score': 0.880521, 'tone_id': 'analytical', 'tone_name': 'Analytical'}, {'score': 0.809934, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]}, 'sentences_tone': [{'sentence_id': 0, 'text': 'Media should telecast more about which particular points in farm bills are affecting farmers agitating there and what is reply of government for that.', 'tones': [{'score': 0.552129, 'tone_id': 'sadness', 'tone_name': 'Sadness'}]}, {'sentence_id': 1, 'text': 'Instead of doing so, this issue is being created as a national problem without any logical understanding.', 'tones': [{'score': 0.743648, 'tone_id': 'sadness', 'tone_name': 'Sadness'}, {'score': 0.887937, 'tone_id': 'analytical', 'tone_name': 'Analytical'}, {'score': 0.58393, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]}]}"
7,"Every one should support farmers. They are the people who are feeding nation. Not all the farmers are rich. 80% of the farmers have 2 to 5 acre of land which is their bread & butter. Central govt should pass a comprehensive bill which takes care of each & every farmers. Modi should leave his ego, come out of Adani & Ambani & look at the farmer's Interest.","{'document_tone': {'tones': [{'score': 0.662145, 'tone_id': 'sadness', 'tone_name': 'Sadness'}, {'score': 0.528733, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.796048, 'tone_id': 'confident', 'tone_name': 'Confident'}, {'score': 0.835824, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}, 'sentences_tone': [{'sentence_id': 0, 'text': 'Every one should support farmers.', 'tones': [{'score': 0.961633, 'tone_id': 'confident', 'tone_name': 'Confident'}]}, {'sentence_id': 1, 'text': 'They are the people who are feeding nation.', 'tones': []}, {'sentence_id': 2, 'text': 'Not all the farmers are rich.', 'tones': [{'score': 0.599144, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.85813, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]}, {'sentence_id': 3, 'text': '80% of the farmers have 2 to 5 acre of land which is their bread & butter.', 'tones': []}, {'sentence_id': 4, 'text': 'Central govt should pass a comprehensive bill which takes care of each & every farmers.', 'tones': [{'score': 0.717695, 'tone_id': 'sadness', 'tone_name': 'Sadness'}, {'score': 0.751512, 'tone_id': 'confident', 'tone_name': 'Confident'}, {'score': 0.560098, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}, {'sentence_id': 5, 'text': ""Modi should leave his ego, come out of Adani & Ambani & look at the farmer's Interest."", 'tones': [{'score': 0.606209, 'tone_id': 'sadness', 'tone_name': 'Sadness'}, {'score': 0.963467, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}]}"
8,Since May 27th 2014 our beautiful and heterogeneous India ????  has ben turned into an intollerant one. The so called 'New' India had no place for pluralism . Justice To Indian ???? Farmers ?? ???????. Indian Farmers ?? ????  are the real heroes of the economy ??????? Down with crony capitalists ?? ????????,"{'document_tone': {'tones': [{'score': 0.601567, 'tone_id': 'sadness', 'tone_name': 'Sadness'}]}, 'sentences_tone': [{'sentence_id': 0, 'text': 'Since May 27th 2014 our beautiful and heterogeneous India ????  has ben turned into an intollerant one.', 'tones': [{'score': 0.615352, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]}, {'sentence_id': 1, 'text': ""The so called 'New' India had no place for pluralism ."", 'tones': []}, {'sentence_id': 2, 'text': 'Justice To Indian ???? Farmers ?? ???????.', 'tones': [{'score': 0.560401, 'tone_id': 'sadness', 'tone_name': 'Sadness'}]}, {'sentence_id': 3, 'text': 'Indian Farmers ?? ????  are the real heroes of the economy ??????? Down with crony capitalists ?? ????????', 'tones': [{'score': 0.509368, 'tone_id': 'confident', 'tone_name': 'Confident'}]}]}"
9,"The Government will wait up to the revolt of Delhites  ,when their routin work &movement is affected! There’s already discontent among people for illegal blocking of public roads. The threats by agitaters & the displeasure of responsible citizens has lost sympathy of general public . The interference of foreign elements & the entry of anti nationals has discredited the the of stir! The proposed bund on 8th will further expose the hallowness of this sectarian political drama!","{'document_tone': {'tones': [{'score': 0.550742, 'tone_id': 'anger', 'tone_name': 'Anger'}, {'score': 0.614301, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}, 'sentences_tone': [{'sentence_id': 0, 'text': 'The Government will wait up to the revolt of Delhites  ,when their routin work &movement is affected!', 'tones': []}, {'sentence_id': 1, 'text': 'There’s already discontent among people for illegal blocking of public roads.', 'tones': [{'score': 0.559562, 'tone_id': 'anger', 'tone_name': 'Anger'}, {'score': 0.703409, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}, {'sentence_id': 2, 'text': 'The threats by agitaters & the displeasure of responsible citizens has lost sympathy of general public .', 'tones': [{'score': 0.599808, 'tone_id': 'sadness', 'tone_name': 'Sadness'}]}, {'sentence_id': 3, 'text': 'The interference of foreign elements & the entry of anti nationals has discredited the the of stir!', 'tones': []}, {'sentence_id': 4, 'text': 'The proposed bund on 8th will further expose the hallowness of this sectarian political drama!', 'tones': [{'score': 0.62671, 'tone_id': 'anger', 'tone_name': 'Anger'}, {'score': 0.8152, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}]}"
10,Punjab Farmers Fighting for whole Indian farmers if Government take Back these Bills .All Over India Farmers will get benefits not only Punjab.But some people don’t know even if everything will under corporate world.You guys can’t even imagine how much you will have to pay for groceries.,"{'document_tone': {'tones': [{'score': 0.529368, 'tone_id': 'sadness', 'tone_name': 'Sadness'}, {'score': 0.908592, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}, 'sentences_tone': [{'sentence_id': 0, 'text': 'Punjab Farmers Fighting for whole Indian farmers if Government take Back these Bills .All', 'tones': [{'score': 0.649364, 'tone_id': 'sadness', 'tone_name': 'Sadness'}, {'score': 0.646387, 'tone_id': 'analytical', 'tone_name': 'Analytical'}, {'score': 0.751512, 'tone_id': 'confident', 'tone_name': 'Confident'}]}, {'sentence_id': 1, 'text': 'Over India Farmers will get benefits not only Punjab.But some people don’t know even if everything will under corporate world.You guys can’t even imagine how much you will have to pay for groceries.', 'tones': [{'score': 0.797389, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}]}"
11,Congres traped..  This is the End of Congres party in India,"{'document_tone': {'tones': []}, 'sentences_tone': [{'sentence_id': 0, 'text': 'Congres traped..', 'tones': []}, {'sentence_id': 1, 'text': 'This is the End of Congres party in India', 'tones': [{'score': 0.533744, 'tone_id': 'joy', 'tone_name': 'Joy'}]}]}"
