level,id,parent_id,object_id,object_type,object_key,query_status,query_time,query_type,message,created_time,like_count,comment_count,error.message
0,1,None,102527030797_10159459382175798,seed,,,None,None,,,,,
1,2,1,102527030797_10159459382175798,data,data.*,fetched (200),09:14.4,Facebook:/<post-id>/comments,The old story of the BJP.  Those who oppose them are called terrorists and anti Indians.,2021-01-12T12:47:11+0000,96,7,
1,3,1,102527030797_10159459382175798,data,data.*,fetched (200),09:14.4,Facebook:/<post-id>/comments,"Ranga-Billa should put their own criminal history in front of bench before accusing others. If, in case, there are so called Khalistanies among protestors, it is home minister's responsibility to display their name and past records and take action.  For today's decision given by court, the farmers should take stand that they will appear in front of committee only after tractor rally on republic day. And the reason of standing in front of committee is to put their point and not to end the farmer's movement. ",2021-01-12T12:55:18+0000,41,6,
1,4,1,102527030797_10159459382175798,data,data.*,fetched (200),09:14.4,Facebook:/<post-id>/comments,criminals have infiltrated parliament since ages. ,2021-01-12T12:20:22+0000,35,1,
1,5,1,102527030797_10159459382175798,data,data.*,fetched (200),09:14.4,Facebook:/<post-id>/comments,"This is the most shameless statement given by the govt on farmers who from more than 50days are  protesting on road with so much difficulties & courage to be listened by govt & black laws be taken by, even after 8meetings no concrete development has taken place & above that such irresponsible statements are made just to divert the important issue & misled the protest. Concerned it whole heartily.",2021-01-12T15:39:01+0000,27,1,
1,6,1,102527030797_10159459382175798,data,data.*,fetched (200),09:14.4,Facebook:/<post-id>/comments,If sikh farmers r khalistani then what r hindu farmers who r against these farm laws.This is failure of govt and nothing.From seven eight years peoples r only listening lies and jumlas.,2021-01-12T12:43:40+0000,21,0,
1,7,1,102527030797_10159459382175798,data,data.*,fetched (200),09:14.4,Facebook:/<post-id>/comments,This govt is playing a very dangerous game just to benefit crony capitalists for electoral bonds! Fearing for India and its future ??,2021-01-12T13:50:34+0000,16,8,
1,8,1,102527030797_10159459382175798,data,data.*,fetched (200),09:14.4,Facebook:/<post-id>/comments,Government is dead scared..... giving false narrative to take brutal control of peaceful protest......,2021-01-12T12:43:51+0000,16,0,
1,9,1,102527030797_10159459382175798,data,data.*,fetched (200),09:14.4,Facebook:/<post-id>/comments,"Khalistanis and their relatives are also farmers from Punjab, so what is the government trying to prove? If they think they can stop the farmers movement by getting a court verdict in their favour they are sadly mistaken.",2021-01-12T13:36:02+0000,9,0,
1,10,1,102527030797_10159459382175798,data,data.*,fetched (200),09:14.4,Facebook:/<post-id>/comments,Sick politics by the government of India. The Supreme court too plays it part in being a corrupt and misaligned organization by passing such stupid solutions. ,2021-01-12T16:20:29+0000,11,4,
1,11,1,102527030797_10159459382175798,data,data.*,fetched (200),09:14.4,Facebook:/<post-id>/comments,Very sad . How an elected govt. can behave or utter like this? Very unfortunate.,2021-01-12T12:24:28+0000,13,0,
1,12,1,102527030797_10159459382175798,data,data.*,fetched (200),09:14.4,Facebook:/<post-id>/comments,#ShameonModiGovt for lying in Supreme court.,2021-01-12T12:17:14+0000,14,15,
1,13,1,102527030797_10159459382175798,data,data.*,fetched (200),09:14.4,Facebook:/<post-id>/comments,As large section of farmers beautifully led by a community which always sacrificed for the nation put on strong opposition against black laws a government with no sacrifice at all but making an impression to have sacrificed is clueless...hence this idea to paint them as khalistanis...Indians will realise sooner or later all this.,2021-01-13T08:37:16+0000,3,0,
1,14,1,102527030797_10159459382175798,data,data.*,fetched (200),09:14.4,Facebook:/<post-id>/comments,Modi/Amit are the lowest I have come across in my life! Add the fact that judiciary is also sold and you will understand what kind of situation Modi bhakts have landed us all in,2021-01-12T19:29:49+0000,3,0,
1,15,1,102527030797_10159459382175798,data,data.*,fetched (200),09:14.4,Facebook:/<post-id>/comments,But nobody complained when two criminals started calling shots in the country..!!,2021-01-12T12:32:48+0000,6,0,
1,16,1,102527030797_10159459382175798,data,data.*,fetched (200),09:14.4,Facebook:/<post-id>/comments,This type of allegations without any strong evidence ...govt only playing politics and favorism to private companies,2021-01-12T15:52:42+0000,3,0,
1,17,1,102527030797_10159459382175798,data,data.*,fetched (200),09:14.4,Facebook:/<post-id>/comments,Govt. is only hurting the sentiments of the farmers by playing politics and calling khalistani to them. Shame,2021-01-12T16:22:57+0000,3,0,
