id,message,tone
2,If govt drags this further it will be a matter of time wen such unscrupulous fanatics will overpower the genuine protest,"{'document_tone': {'tones': [{'score': 0.51375, 'tone_id': 'sadness', 'tone_name': 'Sadness'}, {'score': 0.502925, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}}"
3,Now their real agenda is exposed ,"{'document_tone': {'tones': [{'score': 0.80026, 'tone_id': 'confident', 'tone_name': 'Confident'}]}}"
4,Again bringing a dead Khalistani movement? No one cares for it except government stooges and the press,"{'document_tone': {'tones': [{'score': 0.668742, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}, 'sentences_tone': [{'sentence_id': 0, 'text': 'Again bringing a dead Khalistani movement?', 'tones': []}, {'sentence_id': 1, 'text': 'No one cares for it except government stooges and the press', 'tones': [{'score': 0.653099, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}]}"
5,But Farmers are ready to go back if laws are repealed,"{'document_tone': {'tones': [{'score': 0.653099, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}}"
6,False conspiracies being sown by intelligence agencies.,"{'document_tone': {'tones': [{'score': 0.560098, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}}"
7,Who is responsible? The government itself. The solution to the problem is to address farmer's grievances lest the going on agitation itself turns to be a problem beyond control.,"{'document_tone': {'tones': [{'score': 0.655112, 'tone_id': 'sadness', 'tone_name': 'Sadness'}, {'score': 0.86591, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}, 'sentences_tone': [{'sentence_id': 0, 'text': 'Who is responsible?', 'tones': []}, {'sentence_id': 1, 'text': 'The government itself.', 'tones': [{'score': 0.931034, 'tone_id': 'fear', 'tone_name': 'Fear'}]}, {'sentence_id': 2, 'text': ""The solution to the problem is to address farmer's grievances lest the going on agitation itself turns to be a problem beyond control."", 'tones': [{'score': 0.709907, 'tone_id': 'sadness', 'tone_name': 'Sadness'}, {'score': 0.775384, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}]}"
8,Announcement from Some sleeper IT cells of BJP....??Bhakts and bhakwas ..?? I wonder this must be plan B of centre govt to defame protest.. and remove the Farmers from the place.... Godi medias got some talk for the day??,"{'document_tone': {'tones': [{'score': 0.940117, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]}, 'sentences_tone': [{'sentence_id': 0, 'text': 'Announcement from Some sleeper IT cells of BJP....??Bhakts and bhakwas ..??', 'tones': [{'score': 0.786991, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]}, {'sentence_id': 1, 'text': 'I wonder this must be plan B of centre govt to defame protest.. and remove the Farmers from the place.... Godi medias got some talk for the day??', 'tones': [{'score': 0.627828, 'tone_id': 'sadness', 'tone_name': 'Sadness'}, {'score': 0.534455, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]}]}"
9,"So as suspected Pakistan , China aided by our own like minded Parties are going to destroy peace in our country ...","{'document_tone': {'tones': [{'score': 0.704683, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]}}"
10,“KISSAN & JWAN both are IMPORTANT for the nation”-said farmers advocate!!         Farmers are not an embarrassment but  a-“PRIDE & GLORY”,"{'document_tone': {'tones': [{'score': 0.683553, 'tone_id': 'joy', 'tone_name': 'Joy'}]}}"
11,Strong action by army should be taken against Khalistani's,{'document_tone': {'tones': []}}
12,"Hoisting on Red Fort ,New Delhi? ....Delhi witnessed  worst genocide in 1984 ....none came forward to save innocent lives....","{'document_tone': {'tones': [{'score': 0.509843, 'tone_id': 'sadness', 'tone_name': 'Sadness'}, {'score': 0.61954, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}, 'sentences_tone': [{'sentence_id': 0, 'text': 'Hoisting on Red Fort ,New Delhi?', 'tones': [{'score': 0.572018, 'tone_id': 'joy', 'tone_name': 'Joy'}]}, {'sentence_id': 1, 'text': '....Delhi witnessed  worst genocide in 1984 ....none came forward to save innocent lives....', 'tones': [{'score': 0.528412, 'tone_id': 'sadness', 'tone_name': 'Sadness'}, {'score': 0.589295, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}]}"
13,Is this the one n only justification that our Govt have to divert the real issue with farmers protest ??,"{'document_tone': {'tones': [{'score': 0.712959, 'tone_id': 'sadness', 'tone_name': 'Sadness'}, {'score': 0.884998, 'tone_id': 'analytical', 'tone_name': 'Analytical'}, {'score': 0.741964, 'tone_id': 'confident', 'tone_name': 'Confident'}]}}"
14,"So its a story, of A terrorist group in power and another trying to seek power.  Moral of the story, farmer shoved and abused to the brink, for the existence and livelyhood, the ones in power, for their crony captalist Industrial Bosses.   The the ones seeking power, inticing, the younger farmer, to behave, in a way unacceptable to civil society.  We have self to be blamed , to choosing an illiterate group of blokes to govern us. Hai Hind.","{'document_tone': {'tones': [{'score': 0.66131, 'tone_id': 'sadness', 'tone_name': 'Sadness'}]}, 'sentences_tone': [{'sentence_id': 0, 'text': 'So its a story, of A terrorist group in power and another trying to seek power.', 'tones': []}, {'sentence_id': 1, 'text': 'Moral of the story, farmer shoved and abused to the brink, for the existence and livelyhood, the ones in power, for their crony captalist Industrial Bosses.', 'tones': [{'score': 0.709424, 'tone_id': 'sadness', 'tone_name': 'Sadness'}]}, {'sentence_id': 2, 'text': 'The the ones seeking power, inticing, the younger farmer, to behave, in a way unacceptable to civil society.', 'tones': [{'score': 0.549148, 'tone_id': 'sadness', 'tone_name': 'Sadness'}, {'score': 0.564476, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}, {'sentence_id': 3, 'text': 'We have self to be blamed , to choosing an illiterate group of blokes to govern us.', 'tones': [{'score': 0.530845, 'tone_id': 'sadness', 'tone_name': 'Sadness'}, {'score': 0.506763, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}, {'sentence_id': 4, 'text': 'Hai Hind.', 'tones': []}]}"
15,Indian people have been framed and enslaved for a very long time now. Such long that they have forgotten that they still possess critical thinking abilities. I want to remind all Indians that governments keep us busy through nonsense. Let us make sure that farmers are getting what justifiably belongs to them.,"{'document_tone': {'tones': [{'score': 0.650853, 'tone_id': 'sadness', 'tone_name': 'Sadness'}, {'score': 0.946092, 'tone_id': 'confident', 'tone_name': 'Confident'}, {'score': 0.824883, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}, 'sentences_tone': [{'sentence_id': 0, 'text': 'Indian people have been framed and enslaved for a very long time now.', 'tones': [{'score': 0.591141, 'tone_id': 'sadness', 'tone_name': 'Sadness'}, {'score': 0.775702, 'tone_id': 'confident', 'tone_name': 'Confident'}]}, {'sentence_id': 1, 'text': 'Such long that they have forgotten that they still possess critical thinking abilities.', 'tones': [{'score': 0.821913, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}, {'sentence_id': 2, 'text': 'I want to remind all Indians that governments keep us busy through nonsense.', 'tones': [{'score': 0.527102, 'tone_id': 'sadness', 'tone_name': 'Sadness'}, {'score': 0.775702, 'tone_id': 'confident', 'tone_name': 'Confident'}]}, {'sentence_id': 3, 'text': 'Let us make sure that farmers are getting what justifiably belongs to them.', 'tones': [{'score': 0.775702, 'tone_id': 'confident', 'tone_name': 'Confident'}, {'score': 0.840228, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}]}"
16,Shut up do not try to decentralize the rising farmer protest for your  self interest.,"{'document_tone': {'tones': [{'score': 0.558715, 'tone_id': 'anger', 'tone_name': 'Anger'}]}}"
17,"Total and utter third rate reporting. Stick to reporting the facts, this article reads like a heavily biased opinion piece. ","{'document_tone': {'tones': [{'score': 0.956815, 'tone_id': 'analytical', 'tone_name': 'Analytical'}, {'score': 0.828525, 'tone_id': 'confident', 'tone_name': 'Confident'}]}, 'sentences_tone': [{'sentence_id': 0, 'text': 'Total and utter third rate reporting.', 'tones': [{'score': 0.80026, 'tone_id': 'confident', 'tone_name': 'Confident'}]}, {'sentence_id': 1, 'text': 'Stick to reporting the facts, this article reads like a heavily biased opinion piece.', 'tones': [{'score': 0.904038, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}]}"
