id,message,tone
2,Police fired on farmers and bullets hit Farmer and lost control,"{'document_tone': {'tones': [{'score': 0.501515, 'tone_id': 'sadness', 'tone_name': 'Sadness'}]}}"
3,What has happened today cannot be undermined and it’s a lesson for the Government that the Khalistan referendum which was temporarily suspended in 2020 has indirectly revived after Red Fort incident .. camera visuals are with police .. now police should arrests all those who are part of incident .. innocents public and farmers should be spared..Govt should slap NSA act on all farm leaders those who are now hiding and try to pass blame .. such a shameless incident and that to be National Capital ..,{'document_tone': {'tones': []}}
4,The Government has to withdraw the law. #FarmersProtest,"{'document_tone': {'tones': [{'score': 0.993781, 'tone_id': 'confident', 'tone_name': 'Confident'}]}, 'sentences_tone': [{'sentence_id': 0, 'text': 'The Government has to withdraw the law.', 'tones': [{'score': 0.9651, 'tone_id': 'confident', 'tone_name': 'Confident'}]}, {'sentence_id': 1, 'text': '#FarmersProtest', 'tones': []}]}"
5,A shameful moment for the country on our Republic Day. This is nothing short of an act of war against the Indian Republic.,"{'document_tone': {'tones': []}, 'sentences_tone': [{'sentence_id': 0, 'text': 'A shameful moment for the country on our Republic Day.', 'tones': []}, {'sentence_id': 1, 'text': 'This is nothing short of an act of war against the Indian Republic.', 'tones': [{'score': 0.550033, 'tone_id': 'sadness', 'tone_name': 'Sadness'}]}]}"
6,Police fired on farmer head while he was driving Tractor .Therefore  tractor fell down,"{'document_tone': {'tones': [{'score': 0.801827, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}}"
7,Not only indians are watching farmers protest...World peoples are deeply watching...,"{'document_tone': {'tones': [{'score': 0.522121, 'tone_id': 'sadness', 'tone_name': 'Sadness'}, {'score': 0.932977, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}}"
8,What does media think ?? medical ?? report in India can move from positive to negative and negative to positive...Made in INDIA ???? ,"{'document_tone': {'tones': [{'score': 0.520874, 'tone_id': 'confident', 'tone_name': 'Confident'}]}}"
9,Yes but Rajdeep Sardesai already posted he died due to police bullet wound :),"{'document_tone': {'tones': [{'score': 0.762356, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}}"
10,Who is behind the root cause of all these divisive acts ...  Who always milks his plots.,"{'document_tone': {'tones': [{'score': 0.898327, 'tone_id': 'confident', 'tone_name': 'Confident'}, {'score': 0.506763, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}}"
11,And india today is busy in licking modis boots ????godi media ab toh sudarjao ..one day you guys are gonna pay for this ..,{'document_tone': {'tones': []}}
12,When farmers law was done you’ll did not give in details... Media is running by government???,{'document_tone': {'tones': []}}
13,"Its good that one terrorist disguising as farmer died when his tractor overturned. ""Karma""","{'document_tone': {'tones': []}, 'sentences_tone': [{'sentence_id': 0, 'text': 'Its good that one terrorist disguising as farmer died when his tractor overturned.', 'tones': [{'score': 0.78277, 'tone_id': 'sadness', 'tone_name': 'Sadness'}]}, {'sentence_id': 1, 'text': '""Karma""', 'tones': []}]}"
14,Police wale ne barcading ko dhakka diya h video m saaf dikh rha h,{'document_tone': {'tones': []}}
15,?? ???????? ????? ?? ????...  ????? ?? ????? ?? ?? ??? ???,{'document_tone': {'tones': []}}
16,police shoots they will pay..,{'document_tone': {'tones': []}}
