id,message,tone
2,Full support to farmers but they must avoid vandalism.,"{'document_tone': {'tones': [{'score': 0.660207, 'tone_id': 'confident', 'tone_name': 'Confident'}]}}"
3,When our future generations asks us why India is still considered developing country.... show them these pictures,{'document_tone': {'tones': []}}
4,"OMG, they have so much spare time and money. They don't deserve any subsidy or Income Tax Exemption.","{'document_tone': {'tones': [{'score': 0.983475, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]}, 'sentences_tone': [{'sentence_id': 0, 'text': 'OMG, they have so much spare time and money.', 'tones': []}, {'sentence_id': 1, 'text': ""They don't deserve any subsidy or Income Tax Exemption."", 'tones': [{'score': 0.976993, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]}]}"
5,BJP's betrayal of the country for the pitch money of the monopoly capitalists!  Don’t do this to nation’s farmers!,"{'document_tone': {'tones': []}, 'sentences_tone': [{'sentence_id': 0, 'text': ""BJP's betrayal of the country for the pitch money of the monopoly capitalists!"", 'tones': []}, {'sentence_id': 1, 'text': 'Don’t do this to nation’s farmers!', 'tones': [{'score': 0.52016, 'tone_id': 'sadness', 'tone_name': 'Sadness'}]}]}"
6,,{'document_tone': {'tones': []}}
7,True farmers are true indian. They can't destroy our own nation India.??.. these seems to be fake kishans. Bring navjot siddhu back to BJP and project him as CM in absence of akali..,"{'document_tone': {'tones': [{'score': 0.738535, 'tone_id': 'sadness', 'tone_name': 'Sadness'}]}, 'sentences_tone': [{'sentence_id': 0, 'text': 'True farmers are true indian.', 'tones': [{'score': 0.522662, 'tone_id': 'sadness', 'tone_name': 'Sadness'}, {'score': 0.961633, 'tone_id': 'confident', 'tone_name': 'Confident'}]}, {'sentence_id': 1, 'text': ""They can't destroy our own nation India.??.. these seems to be fake kishans."", 'tones': [{'score': 0.603664, 'tone_id': 'sadness', 'tone_name': 'Sadness'}, {'score': 0.716301, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]}, {'sentence_id': 2, 'text': 'Bring navjot siddhu back to BJP and project him as CM in absence of akali..', 'tones': []}]}"
8,Anyone disrespecting our national flag should not be spared. With due respect but I doubt ability of Honourable Judges who allowed this tractor rally. Should they also be questioned ? Was it a deliberate attempt to destroy peaceful R D celebrations? What has court achieved ?,"{'document_tone': {'tones': [{'score': 0.947419, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]}, 'sentences_tone': [{'sentence_id': 0, 'text': 'Anyone disrespecting our national flag should not be spared.', 'tones': [{'score': 0.856622, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]}, {'sentence_id': 1, 'text': 'With due respect but I doubt ability of Honourable Judges who allowed this tractor rally.', 'tones': [{'score': 0.532616, 'tone_id': 'analytical', 'tone_name': 'Analytical'}, {'score': 0.647986, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]}, {'sentence_id': 2, 'text': 'Should they also be questioned ?', 'tones': []}, {'sentence_id': 3, 'text': 'Was it a deliberate attempt to destroy peaceful R D celebrations?', 'tones': [{'score': 0.786991, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]}, {'sentence_id': 4, 'text': 'What has court achieved ?', 'tones': [{'score': 0.543833, 'tone_id': 'joy', 'tone_name': 'Joy'}]}]}"
9,"Me from india..hindu..bharat(indian..hindustan..bharatiyan..)..media indian media india today...uplouding respective pession men..or women from me beside..sad news?????? protest..again centre's farm laws in underway..meanwhile,a group of farmer has reached the Red fornt in#Delhi it's sentance..????????","{'document_tone': {'tones': [{'score': 0.511151, 'tone_id': 'sadness', 'tone_name': 'Sadness'}]}}"
10,"?? #????????_???? ?? ???? ??? ??, ????? ????? ?? #???????? ?",{'document_tone': {'tones': []}}
11,"Bias picture,  does not capture what exactly happened,  this is level of journalism and reporting","{'document_tone': {'tones': [{'score': 0.727798, 'tone_id': 'confident', 'tone_name': 'Confident'}]}}"
