Name,Comment,tone
Gurwinder Singh,ðŸ‡¨ðŸ‡¦ðŸ‡¨ðŸ‡¦ðŸ‡¨ðŸ‡¦ðŸ‡¨ðŸ‡¦ðŸ‡¨ðŸ‡¦,{'document_tone': {'tones': []}}
Asad Gujar,If,"{'document_tone': {'tones': [{'score': 0.997482, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}}"
Diamond Pawar BeAtS,Everyone is like they are khalistani......do ya even know the history of Sikhs????n dont fuckin say that they want to divide India coz that&#39;s what RSS want.....n if uh can stop then do it...otherwise dont say that they did this or that,"{'document_tone': {'tones': [{'score': 0.530658, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]}}"
Jaswinder Dhaliwal,We have got our lands fighting under this sacred flag,{'document_tone': {'tones': []}}
Jaz SM,"Santan de hathan vich farheya teer de warga ni, dhakke naal jihnu dab lo ge Kashmir de warga ni!",{'document_tone': {'tones': []}}
Harry Potter,Feed them food and give&#39;em money instead of building Cricket grounds.,{'document_tone': {'tones': []}}
Vivek Reddy,anti nationals and oppositions are miss leading farmers,"{'document_tone': {'tones': [{'score': 0.789628, 'tone_id': 'sadness', 'tone_name': 'Sadness'}, {'score': 0.920855, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}}"
galaxy world,They are not farmer,{'document_tone': {'tones': []}}
Razzi Warraich,"Modi ji, apka bohat dhanayawaad ki apne hame yeh samjjaya ki 26 January ko Laal Kille ki pratishtha ke apmaan hua, hamara jhande ka apmaan hua. Video dekh kar yeh to pata chal gaya ki hamare jhnade ka apmaan nahi hua hai, jhnada sabb se uppar shan se lehra raha hai. Dhanyawaad ho media ka jinhone hamen yeh santushti karva di ki jhanda nahi uttara gaya. Nishan Sahib jis ne Hindu dharam ko bachaya, hamari izzat ko bachaya, Laal Killa 18 baar fateh kiya, woh hamare tirange ki bilkul neeche laga aur ik pole pur laga. <br><br>Laikin hum yeh kabhi bhi bardasht nahi karenge ki hamare us Laal Kille ka apmaan ho jo Mughalon ne itni mehnat se banaya tha. Jis Laal Kille mein unhone Shasak ban karr hum logon par 800 saal raaj kiya aur hamein gulaam banaya. Jis Laal kille me baith kar Mughlon ne Hinduon ki mass extinction ka farmaan jari kiya, jis laal kille mein Hinduon ke dharam ka mass conversion ka aadesh jari hua, hum us Laal Kille ki partishtha ko kharaab kisi keemat pur nahi hone de sakte. Yeh hamari aan baan ka sawal hai. To kya hua ki Mughalon ko Sikhon ne khadedh diya pur unki dhrohar ka samaan karna hamara param kartavaya hai. <br><br>Isi Laal kille ko Sikhon ne 18 baar jeeta aur is par apna Nishan Sahib fehra kar unhone Zalim Mughalon ko unki aukaad dikha di jinhon ne Hinduon pe 800 saal itne zulam kiye. Yeh wahi Khlasa Sikh hain jo Guru Gobind Singh ji ne Mughalon ke zulmon ka khatama karne ke liye taiyaar kiye. Mughlon ke raaj ko khatam karne wale bhi Sikh hi the jo unhe â€˜Dariyai Khaibarâ€™ har dhakel ker aa gaye the aur uske baad koi bhi lootera us raste se Bharat main dakhil nahi hua. Bharat desh ke liye shahadaten saab se zada shahadeten inhi Sikhon ne hi di hain. Jhande ki ehmeeyat to un logon ko bohhat ache se pata hi hogi ken ke ghar mein isi jhande mein lipatkar border se lashen atti hain. <br><br>Laal kille ka apmaan toh us apmaan se bhi zada hua hai jab Mughal hamari betiyon ko utha kar le jate the aur Sikh apni jaan ki bazzi laga kar unhe bacha kar latte the. Isi Laal Kille me Guru Teg Bahadur ji ka sar dhad se alag karne ka hukam jaari hua, jinho ne Hindu dharm bachane ke liye apni shahadat dee thi. Yeh woh Laal Killa jo hum pur hoye Zulmon ka parteek hai aur iski kone kone mein Hinduon aur Sikhon ka khoon laga hua hai. Woh 800 saal ki gulami aur dehshat aaj bhi hamen hum pur huye zulmon ko yaad dilati hai. <br><br>Kya hum isi Laal Kille ke apmaan ki baat kar rahe hain?","{'document_tone': {'tones': []}, 'sentences_tone': [{'sentence_id': 0, 'text': 'Modi ji, apka bohat dhanayawaad ki apne hame yeh samjjaya ki 26 January ko Laal Kille ki pratishtha ke apmaan hua, hamara jhande ka apmaan hua.', 'tones': []}, {'sentence_id': 1, 'text': 'Video dekh kar yeh to pata chal gaya ki hamare jhnade ka apmaan nahi hua hai, jhnada sabb se uppar shan se lehra raha hai.', 'tones': []}, {'sentence_id': 2, 'text': 'Dhanyawaad ho media ka jinhone hamen yeh santushti karva di ki jhanda nahi uttara gaya.', 'tones': []}, {'sentence_id': 3, 'text': 'Nishan Sahib jis ne Hindu dharam ko bachaya, hamari izzat ko bachaya, Laal Killa 18 baar fateh kiya, woh hamare tirange ki bilkul neeche laga aur ik pole pur laga.', 'tones': []}, {'sentence_id': 4, 'text': '<br><br>Laikin hum yeh kabhi bhi bardasht nahi karenge ki hamare us Laal Kille ka apmaan ho jo Mughalon ne itni mehnat se banaya tha.', 'tones': []}, {'sentence_id': 5, 'text': 'Jis Laal Kille mein unhone Shasak ban karr hum logon par 800 saal raaj kiya aur hamein gulaam banaya.', 'tones': []}, {'sentence_id': 6, 'text': 'Jis Laal kille me baith kar Mughlon ne Hinduon ki mass extinction ka farmaan jari kiya, jis laal kille mein Hinduon ke dharam ka mass conversion ka aadesh jari hua, hum us Laal Kille ki partishtha ko kharaab kisi keemat pur nahi hone de sakte.', 'tones': []}, {'sentence_id': 7, 'text': 'Yeh hamari aan baan ka sawal hai.', 'tones': []}, {'sentence_id': 8, 'text': 'To kya hua ki Mughalon ko Sikhon ne khadedh diya pur unki dhrohar ka samaan karna hamara param kartavaya hai.', 'tones': []}, {'sentence_id': 9, 'text': '<br><br>Isi Laal kille ko Sikhon ne 18 baar jeeta aur is par apna Nishan Sahib fehra kar unhone Zalim Mughalon ko unki aukaad dikha di jinhon ne Hinduon pe 800 saal itne zulam kiye.', 'tones': []}, {'sentence_id': 10, 'text': 'Yeh wahi Khlasa Sikh hain jo Guru Gobind Singh ji ne Mughalon ke zulmon ka khatama karne ke liye taiyaar kiye.', 'tones': []}, {'sentence_id': 11, 'text': 'Mughlon ke raaj ko khatam karne wale bhi Sikh hi the jo unhe â€˜Dariyai Khaibarâ€™ har dhakel ker aa gaye the aur uske baad koi bhi lootera us raste se Bharat main dakhil nahi hua.', 'tones': []}, {'sentence_id': 12, 'text': 'Bharat desh ke liye shahadaten saab se zada shahadeten inhi Sikhon ne hi di hain.', 'tones': []}, {'sentence_id': 13, 'text': 'Jhande ki ehmeeyat to un logon ko bohhat ache se pata hi hogi ken ke ghar mein isi jhande mein lipatkar border se lashen atti hain.', 'tones': []}, {'sentence_id': 14, 'text': '<br><br>Laal kille ka apmaan toh us apmaan se bhi zada hua hai jab Mughal hamari betiyon ko utha kar le jate the aur Sikh apni jaan ki bazzi laga kar unhe bacha kar latte the.', 'tones': []}, {'sentence_id': 15, 'text': 'Isi Laal Kille me Guru Teg Bahadur ji ka sar dhad se alag karne ka hukam jaari hua, jinho ne Hindu dharm bachane ke liye apni shahadat dee thi.', 'tones': []}, {'sentence_id': 16, 'text': 'Yeh woh Laal Killa jo hum pur hoye Zulmon ka parteek hai aur iski kone kone mein Hinduon aur Sikhon ka khoon laga hua hai.', 'tones': []}, {'sentence_id': 17, 'text': 'Woh 800 saal ki gulami aur dehshat aaj bhi hamen hum pur huye zulmon ko yaad dilati hai.', 'tones': []}, {'sentence_id': 18, 'text': '<br><br>Kya hum isi Laal Kille ke apmaan ki baat kar rahe hain?', 'tones': []}]}"
Jesse Howard,They obviously make us waste our time watching this well I trade forex from the comfort of my home with the help and guidance of an expert trader carlos_1uptrades on !G. .,"{'document_tone': {'tones': [{'score': 0.664903, 'tone_id': 'joy', 'tone_name': 'Joy'}]}}"
