,message,sentiment
0,"['cnt', 'coincidence', 'commit', 'sucide', 'someone', 'behind', 'fine', 'actor', 'sad']",-0.16111111111111112
1,"['gevarghese', 'kv', 'right', 'minute', 'read', 'news', 'article', 'find', 'lot', 'link', 'doubt']",0.2857142857142857
2,"['ex', 'manager', 'suicide', 'dastak', 'suicide', 'hear', 'one']",0.0
3,"['mushaim', 'azhan', 'yes']",0.0
4,"['sankalp', 'moneesh', 'murder']",0.0
5,['murder'],0.0
6,"['truth', 'never', 'cm']",0.0
7,"['aishwarya', 'panchatsaram', 'omgg', 'omggg']",0.0
8,"['siddharth', 'awaghade', 'yes', 'exactly', 'income', 'film', 'money', 'live', 'luxury', 'lifestyle']",0.19318181818181818
9,"['possible', 'sushant', 'well', 'powerful', 'family', 'bihar', 'political', 'connection', 'money', 'constraint']",0.09999999999999999
10,"['srinivas', 'n', 'oh', 'god']",0.0
11,"['onam', 'mukherjee', 'mitra', 'yes', 'true', 'income', 'film', 'luxurious', 'lifestyle']",0.35
12,"['pynshailang', 'lynser', 'money', 'isnt', 'reasonhe', 'already', 'lot', 'moneythese', 'celebrity', 'always', 'go', 'problem', 'mediaaffairspeople', 'troll', 'social', 'mediaanything', 'reason', 'suicide', 'money', 'isnt']",0.03333333333333333
13,"['raji', 'muthukrishnan', 'mam', 'easy', 'say', 'one', 'time', 'get', 'diffucuilt', 'come']",0.43333333333333335
14,"['know', 'sometimes', 'pressure', 'much', 'one', 'able', 'handle', 'situation', 'feel', 'sad', 'educate', 'could', 'do', 'anything', 'pray', 'soul']",0.06666666666666665
15,"['sourabh', 'jaiswal', 'copy', 'paste', 'agree']",0.0
16,"['nidhi', 'kamath', 'yes', 'rite', 'even', 'also', 'think', 'take', 'kind', 'step', 'successful', 'something', 'relate', 'manager', 'demise']",0.675
17,"['nisshant', 'ngpl', 'please', 'dont', 'get', 'conjecture', 'insult', 'thing', 'whose', 'job', 'investigate', 'outer', 'success', 'luxury', 'comfort', 'doesnt', 'much', 'inner', 'joy', 'peace']",0.3666666666666667
18,"['arpita', 'sandilya', 'agree', 'although', 'insult', 'state', 'shock', 'kind', 'superb', 'talent', 'self', 'make', 'actor', 'take', 'kind', 'step', 'inspiration', 'many', 'believe', 'suicide', 'option', 'depression', 'talk', 'somebody', 'state', 'misery', 'go', 'conflict', 'mind', 'heshe', 'seclude', 'rather', 'come', 'talk', 'case', 'believe', 'never', 'relate', 'career', 'cause', 'successful', 'enough', 'still', 'ambitious', 'stronghead', 'nature', 'love', 'human']",0.4666666666666667
19,"['nisshant', 'ngpl', 'material', 'outside', 'hardly', 'impact', 'profund', 'inside', 'inside', 'need', 'work', 'do', 'separately', 'great', 'career', 'success', 'family', 'wealth', 'even', 'health', 'enough', 'good', 'survival', 'good', 'live', 'someone', 'everything', 'outside', 'still', 'empty', 'inside', 'need', 'revisit', 'stay', 'touch', 'yogic', 'root', 'teach', 'u', 'treat', 'life', 'within', 'u']",0.22446969696969693
20,"['nidhi', 'kamath', 'soo', 'sad', 'ji']",-0.5
21,"['chang', 'k', 'kipging', 'income']",0.0
22,"['chang', 'k', 'kipging', 'investigation']",0.0
23,"['sridhar', 'dharmapadam', 'cant', 'call', 'cowardly', 'actnobody', 'know', 'wat', 'person', 'go', 'throughcud', 'hav', 'depressioncud', 'hav', 'anythingnot', 'justify', 'act', 'really', 'understand', 'unless', 'shoe']",0.2
24,"['sridhar', 'dharmapadam', 'kill', 'oneself', 'require', 'couragebut', 'reason', 'best', 'know', 'oneself', 'choose', 'death', 'life']",1.0
